"ch"	"sex"	"initial.age"	"lowtag"	"perm"
"279"	"0,0,0,0,0,0,0,0,0,0,++,0"	"F"	12	"/*35001*/"	"yes"
"280"	"0,0,0,0,0,0,0,0,0,0,++,0"	"F"	4	"/*35003*/"	"yes"
"281"	"0,0,0,0,0,0,0,0,0,0,++,++"	"M"	2	"/*35005*/"	"yes"
"282"	"0,0,0,0,0,0,0,0,0,0,++,0"	"F"	4	"/*35007*/"	"yes"
"283"	"0,0,0,0,0,0,0,0,0,0,++,0"	"M"	14	"/*35009*/"	"yes"
"284"	"0,0,0,0,0,0,0,0,0,0,++,0"	"F"	2	"/*35011*/"	"yes"
"285"	"0,0,0,0,0,0,0,0,0,0,++,0"	"M"	2	"/*35013*/"	"yes"
"286"	"0,0,0,0,0,0,0,0,0,0,++,0"	"M"	1	"/*35021*/"	"yes"
"287"	"0,0,0,0,0,0,0,0,0,0,++,0"	"M"	1	"/*35023*/"	"yes"
"288"	"0,0,0,0,0,0,0,0,0,0,++,++"	"F"	2	"/*35025*/"	"yes"
"289"	"0,0,0,0,0,0,0,0,0,0,++,0"	"M"	2	"/*35027*/"	"yes"
"290"	"0,0,0,0,0,0,0,0,0,0,++,0"	"M"	1	"/*35029*/"	"yes"
"291"	"0,0,0,0,0,0,0,0,0,0,++,0"	"M"	2	"/*35033*/"	"yes"
"292"	"0,0,0,0,0,0,0,0,0,0,++,++"	"F"	1	"/*35035*/"	"yes"
"293"	"0,0,0,0,0,0,0,0,0,0,++,0"	"F"	1	"/*35037*/"	"yes"
"294"	"0,0,0,0,0,0,0,0,0,0,++,0"	"F"	3	"/*35039*/"	"yes"
"295"	"0,0,0,0,0,0,0,0,0,0,++,++"	"M"	2	"/*35041*/"	"yes"
"296"	"0,0,0,0,0,0,0,0,0,0,++,0"	"M"	2	"/*35043*/"	"yes"
"297"	"0,0,0,0,0,0,0,0,0,0,++,0"	"M"	1	"/*35045*/"	"yes"
"298"	"0,0,0,0,0,0,0,0,0,0,++,0"	"M"	2	"/*35047*/"	"yes"
"299"	"0,0,0,0,0,0,0,0,0,0,++,++"	"F"	1	"/*35049*/"	"yes"
"300"	"0,0,0,0,0,0,0,0,0,0,++,++"	"M"	1	"/*35051*/"	"yes"
"301"	"0,0,0,0,0,0,0,0,0,0,++,0"	"M"	1	"/*35053*/"	"yes"
"302"	"0,0,0,0,0,0,0,0,0,0,++,++"	"M"	2	"/*35717*/"	"yes"
"303"	"0,0,0,0,0,0,0,0,0,0,++,0"	"M"	1	"/*35719*/"	"yes"
"304"	"0,0,0,0,0,0,0,0,0,0,++,0"	"F"	1	"/*35721*/"	"yes"
"305"	"0,0,0,0,0,0,0,0,0,0,++,++"	"M"	3	"/*35723*/"	"yes"
